board_id,market,product_name,sales_address,lat,long,height,width,facing,total_observed,audience_target_observed,audience_composition,index,day_of_week,AD_00,AD_01,AD_02,AD_03,AD_04,AD_05,AD_06,AD_07,AD_08,AD_09,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AC_00,AC_01,AC_02,AC_03,AC_04,AC_05,AC_06,AC_07,AC_08,AC_09,AC_10,AC_11,AC_12,AC_13,AC_14,AC_15,AC_16,AC_17,AC_18,AC_19,AC_20,AC_21,AC_22,AC_23,I_00,I_01,I_02,I_03,I_04,I_05,I_06,I_07,I_08,I_09,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23
7387802,Toronto,Static,HUMBER COLLEGE - MF-J-Block J107-M-WAL 1,43.72806,-79.60669,17,13,Main Floor,49,26,0.530612,0.791408,Wed,0.056911,0.02439,0.02439,0.01626,0.01626,0.01626,0.00813,0.01626,0.01626,0.01626,0.01626,0.04065,0.065041,0.073171,0.081301,0.056911,0.04878,0.065041,0.081301,0.073171,0.056911,0.03252,0.065041,0.03252,0.466667,0.272727,0.272727,0.25,0.4,0.333333,0.2,0.4,0.333333,0.333333,0.4,0.5,0.571429,0.6,0.625,0.5,0.4,0.470588,0.5,0.529412,0.466667,0.363636,0.571429,0.307692,0.619849,0.373664,0.382388,0.354891,0.577593,0.489244,0.295994,0.58743,0.480632,0.461523,0.521109,0.636622,0.729806,0.763628,0.79739,0.653214,0.531563,0.616949,0.652551,0.685661,0.605912,0.471603,0.74584,0.407592
7387802,Toronto,Classique/Classic,HUMBER COLLEGE - MF-J-Block J107-M-WAL 1,43.72806,-79.60669,17,13,Main Floor,63,36,0.571429,0.843304,Tue,0.023077,0.023077,0.023077,0.038462,0.023077,0.015385,0.030769,0.007692,0.015385,0.007692,0.007692,0.007692,0.038462,0.053846,0.053846,0.061538,0.069231,0.069231,0.061538,0.084615,0.092308,0.053846,0.084615,0.053846,0.3,0.272727,0.333333,0.416667,0.333333,0.285714,0.444444,0.166667,0.285714,0.166667,0.166667,0.166667,0.416667,0.466667,0.411765,0.470588,0.5625,0.5,0.5,0.578947,0.6,0.466667,0.578947,0.4375,0.399495,0.370097,0.467737,0.588563,0.477778,0.4156,0.648578,0.242718,0.410363,0.228718,0.218018,0.211381,0.532491,0.596785,0.53286,0.617828,0.734158,0.650903,0.652281,0.757948,0.781714,0.605385,0.754253,0.565936
7387802,Toronto,Static,HUMBER COLLEGE - MF-J-Block J107-M-WAL 1,43.72806,-79.60669,17,13,Main Floor,54,31,0.574074,0.865937,Fri,0.038217,0.044586,0.038217,0.038217,0.019108,0.019108,0.012739,0.006369,0.012739,0.012739,0.019108,0.031847,0.044586,0.050955,0.057325,0.050955,0.057325,0.082803,0.089172,0.076433,0.063694,0.057325,0.031847,0.044586,0.6,0.636364,0.5,0.545455,0.375,0.428571,0.333333,0.166667,0.285714,0.333333,0.428571,0.555556,0.636364,0.533333,0.75,0.533333,0.6,0.65,0.608696,0.6,0.714286,0.75,0.625,0.538462,0.790552,0.857447,0.699255,0.782576,0.534516,0.63382,0.517006,0.252372,0.434071,0.476417,0.576333,0.707495,0.824561,0.687084,0.975088,0.70227,0.792029,0.849123,0.787547,0.777997,0.936624,0.990516,0.849786,0.717077
7387802,Toronto,Static,HUMBER COLLEGE - MF-J-Block J107-M-WAL 1,43.72806,-79.60669,17,13,Main Floor,183,106,0.579235,1.077622,total,0.043182,0.031818,0.025,0.020455,0.011364,0.009091,0.011364,0.009091,0.006818,0.006818,0.011364,0.040909,0.059091,0.072727,0.063636,0.063636,0.065909,0.079545,0.077273,0.084091,0.072727,0.054545,0.045455,0.034091,0.558824,0.466667,0.407407,0.428571,0.333333,0.333333,0.384615,0.363636,0.3,0.3,0.454545,0.666667,0.666667,0.695652,0.682927,0.595745,0.617021,0.636364,0.566667,0.596774,0.561404,0.55814,0.540541,0.405405,0.80172,0.690201,0.626084,0.671357,0.531611,0.546198,0.645111,0.596262,0.483452,0.46,0.657988,0.928198,0.935712,0.971421,0.956324,0.84488,0.874209,0.895639,0.790288,0.836098,0.789456,0.787585,0.771634,0.58045
7395463,Toronto,Static,RYERSON U - TED ROGERS SCHOOL OF MGT - F2-TRS-155-M-URI 1,43.65568,-79.38287,17,13,2nd Floor,48,34,0.708333,1.056479,Wed,,0.142857,0.017857,0.035714,0.035714,0.017857,,,,,0.017857,0.035714,0.017857,0.107143,0.035714,0.035714,0.071429,0.035714,0.089286,0.035714,0.142857,0.017857,0.053571,0.053571,0,1,0.5,0.666667,1,0.5,,,,,1,1,1,0.857143,1,1,0.8,1,0.625,0.5,0.666667,1,0.75,0.75,0,1.370103,0.701046,0.946377,1.443983,0.733866,,,,,1.302772,1.273245,1.27716,1.090897,1.275824,1.306428,1.063126,1.311018,0.815688,0.647569,0.865588,1.296909,0.978914,0.993506
2270699,Toronto,Transit Shelter,Bay St. (Tor) WS 50m S/O Front St. F/E - L,43.645618,-79.378891,68.3,47.3,East,197,145,0.736041,1.106396,Sat,0.074534,0.018634,0.031056,0.043478,0.012422,0.018634,0.012422,0.006211,,0.012422,0.018634,0.006211,0.043478,0.012422,0.024845,0.055901,0.093168,0.086957,0.086957,0.111801,0.037267,0.043478,0.043478,0.10559,0.75,0.5,1,0.777778,0.666667,0.6,1,1,0,1,1,0.5,0.636364,0.5,0.666667,0.5625,0.789474,0.7,0.666667,0.818182,0.666667,0.777778,0.636364,0.73913,0.989355,0.678685,1.41283,1.113273,0.986522,0.88729,1.544926,1.46008,0,1.405025,1.404311,0.65572,0.846662,0.657826,0.890311,0.743848,1.02386,0.901117,0.857212,1.046333,0.860594,1.014776,0.83643,0.980663
7406608,Toronto,Bike Share,Queen St W / Ossington Ave,43.643975,-79.419576,55,37,,216,160,0.740741,1.117339,Fri,0.030534,0.034351,0.022901,0.030534,0.015267,0.019084,0.003817,0.015267,,0.003817,0.007634,0.019084,0.072519,0.064885,0.064885,0.038168,0.076336,0.09542,0.091603,0.064885,0.057252,0.076336,0.049618,0.045802,0.666667,0.692308,0.666667,0.8,0.8,0.833333,0.333333,0.444444,0,0.25,0.5,0.555556,0.826087,0.85,0.772727,0.588235,0.833333,0.757576,0.666667,0.708333,0.681818,0.8,0.722222,0.8,0.878392,0.932827,0.93234,1.147778,1.140301,1.232429,0.517006,0.672991,0,0.357313,0.672389,0.707495,1.070392,1.09504,1.004636,0.774562,1.10004,0.989654,0.862552,0.918468,0.894049,1.056551,0.981975,1.065371
7395423,Toronto,Static,RYERSON U - TED ROGERS SCHOOL OF MGT - F1-TRS-159-W-STA 2,43.65568,-79.38287,17,13,1st Floor,201,153,0.761194,1.416143,total,0.037313,0.067164,0.018657,0.026119,0.033582,0.022388,0.011194,0.007463,,,0.014925,0.014925,0.029851,0.048507,0.037313,0.05597,0.048507,0.093284,0.089552,0.100746,0.097015,0.037313,0.063433,0.044776,0.833333,0.947368,0.625,0.7,0.818182,0.857143,1,0.666667,0,0,1,1,0.8,0.866667,0.714286,0.833333,0.722222,0.925926,0.8,0.75,0.722222,0.714286,0.653846,0.705882,1.195547,1.401158,0.96047,1.096551,1.304866,1.40451,1.67729,1.093149,0,0,1.447576,1.392296,1.122854,1.210229,1.000237,1.181825,1.02326,1.303178,1.115699,1.050772,1.015601,1.00792,0.933379,1.010667
7195430,Toronto,Transit Shelter,Spadina Ave Platform ES 0m N/O Queens Quay F/W - I,43.637864,-79.391897,68.3,47.3,West,459,352,0.766885,1.426731,total,0.048237,0.06679,0.040816,0.048237,0.024119,0.020408,0.011132,0.005566,0.007421,0.005566,0.011132,0.027829,0.022263,0.038961,0.051948,0.040816,0.053803,0.06308,0.083488,0.070501,0.053803,0.059369,0.064935,0.079777,0.83871,0.818182,0.758621,0.962963,0.8125,0.785714,0.6,0.6,0.666667,0.75,0.666667,1,0.705882,0.807692,0.823529,0.785714,0.805556,0.829268,0.714286,0.808511,0.763158,0.761905,0.853659,0.811321,1.203261,1.210092,1.165812,1.508483,1.295804,1.287467,1.006374,0.983834,1.074339,1.15,0.965051,1.392296,0.990753,1.127876,1.153213,1.114292,1.141329,1.167138,0.996161,1.132748,1.073165,1.075115,1.218616,1.161632
7406608,Toronto,Bike Share,Queen St W / Ossington Ave,43.643975,-79.419576,55,37,,736,571,0.775815,1.443345,total,0.053953,0.04186,0.035349,0.022326,0.017674,0.018605,0.008372,0.008372,0.003721,0.005581,0.008372,0.030698,0.056744,0.049302,0.052093,0.048372,0.059535,0.077209,0.099535,0.08186,0.065116,0.056744,0.048372,0.050233,0.763158,0.803571,0.808511,0.857143,0.678571,0.769231,0.6,0.5625,0.444444,0.6,0.642857,0.846154,0.847222,0.815385,0.811594,0.787879,0.771084,0.775701,0.823077,0.792793,0.833333,0.792208,0.8,0.794118,1.09487,1.188482,1.242481,1.342716,1.082209,1.260458,1.006374,0.922344,0.716225,0.92,0.930584,1.178097,1.189134,1.138618,1.1365,1.117362,1.092489,1.091746,1.147883,1.110726,1.171847,1.117875,1.142017,1.137001
2271563,Toronto,Transit Shelter,Queen St 12 m E/O Soho Place NS: Toronto F/E-I,43.649579,-79.393194,68.3,47.3,East,771,602,0.780804,1.452626,total,0.064586,0.057051,0.027987,0.022605,0.016146,0.008611,0.005382,0.004306,0.001076,0.002153,0.005382,0.022605,0.041981,0.041981,0.040904,0.044133,0.064586,0.081808,0.092573,0.080732,0.07535,0.066738,0.062433,0.068891,0.769231,0.80303,0.764706,0.75,0.6,0.8,0.833333,0.8,0.5,0.666667,1,0.875,0.829787,0.906977,0.926829,0.719298,0.8,0.817204,0.788991,0.773196,0.804598,0.815789,0.763158,0.842105,1.103582,1.187682,1.175164,1.174876,0.956901,1.310876,1.397741,1.311779,0.805754,1.022223,1.447576,1.218259,1.164662,1.266519,1.297867,1.020101,1.133458,1.150159,1.100346,1.08327,1.131439,1.15115,1.089424,1.205708
7362260,Toronto,Transit Shelter,Lake Shore Blvd W NEC 11.4m N/O Superior Ave F/SE - L,43.615108,-79.48869,0,0,South East,313,248,0.792332,1.474073,total,0.052301,0.035565,0.033473,0.023013,0.014644,0.014644,0.004184,0.002092,0.002092,0.006276,0.012552,0.020921,0.037657,0.031381,0.041841,0.052301,0.054393,0.073222,0.098326,0.104603,0.073222,0.064854,0.073222,0.073222,0.757576,0.708333,0.888889,0.647059,0.7,0.777778,1,0.5,0.333333,1,0.75,0.833333,0.9,0.714286,0.869565,0.892857,0.742857,0.853659,0.810345,0.862069,0.777778,0.861111,0.853659,0.813953,1.086861,1.047625,1.366002,1.013619,1.116385,1.274463,1.67729,0.819862,0.537169,1.533333,1.085682,1.160246,1.263211,0.997442,1.217679,1.266241,1.052496,1.201467,1.130127,1.207784,1.093724,1.215103,1.218616,1.1654
7362260,Toronto,Transit Shelter,Lake Shore Blvd W NEC 11.4m N/O Superior Ave F/SE - L,43.615108,-79.48869,0,0,South East,68,54,0.794118,1.184427,Wed,0.014706,0.014706,0.014706,0.029412,0.014706,0.014706,0.014706,,,0.014706,0.014706,0.014706,0.073529,0.058824,0.029412,0.102941,0.044118,0.014706,0.102941,0.117647,0.088235,0.073529,0.073529,0.058824,1,0.333333,1,1,1,1,1,,,1,1,0.5,1,1,0.666667,0.875,0.75,0.5,0.777778,0.727273,0.857143,0.714286,0.833333,0.8,1.328247,0.456701,1.402092,1.419565,1.443983,1.467733,1.479971,,,1.384572,1.302772,0.636622,1.27716,1.272713,0.85055,1.143124,0.99668,0.655509,1.015079,0.941918,1.112898,0.926364,1.087682,1.05974
